country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngccoin_url,pcgs_url,notes
Iceland,5 aurar,Christian X,Bronze,1,1,16.5,1.2,Plain,1926,1942,COIN,https://en.numista.com/catalogue/pieces6734.html,https://www.ngccoin.com/price-guide/world/iceland-5-aurar-km-7.1-1926-1931-cuid-1121856-duid-1469840,,
Monaco,2 Francs,Louis II,Aluminum,1,1.3,27,1.7,Plain,1943,1943,COIN,https://en.numista.com/catalogue/pieces13084.html,,,
Morocco,1 Franc,Yusuf,Ni-Br,1,4,23,1.6,Reeded,1921,1924,COIN,https://en.numista.com/catalogue/pieces9074.html,,,
Tunisia,2 Francs,Chambers of Commerce Coinage,Aluminum,1,1.8,27,1.7,Plain,1921,1945,COIN,https://en.numista.com/catalogue/pieces8669.html,,,
Italy,50 Centesimi,Victor Emmanuel III,Stainless Steel,1,4.5,24,1.8,Reeded,1939,1943,COIN,https://en.numista.com/catalogue/pieces3043.html,https://www.ngccoin.com/price-guide/world/italy-50-centesimi-km-76a-1939-1940-cuid-1124253-duid-1471518,,
France,20 Francs,Napoleon III,Au,0.9,6.45,21,1.3,Lettered edge,1854,1870,COIN,https://en.numista.com/catalogue/pieces2780.html,https://www.ngccoin.com/price-guide/world/france-20-francs-km-801.1-1854-1870-cuid-1202036-duid-1235845,,
France,50 Francs,Napoleon III,Au,0.9,16.13,28,1.7,Lettered edge,1855,1870,COIN,https://en.numista.com/catalogue/pieces2781.html,https://www.ngccoin.com/price-guide/world/france-50-francs-km-804.1-1855-1870-cuid-1202037-duid-1236076,,
France,100 Francs,Napoleon III,Au,0.9,32.26,35,2.2,Lettered edge,1855,1870,COIN,https://en.numista.com/catalogue/pieces2782.html,https://www.ngccoin.com/price-guide/world/france-100-francs-km-802.1-1855-1870-cuid-1202038-duid-1236195,,
Germany,20 Mark,Wilhelm II,Au,0.9,7.965,22.5,1.38,Reeded,1888,1913,COIN,https://en.numista.com/catalogue/pieces2979.html,https://www.ngccoin.com/price-guide/world/germany-empire-20-mark-km-521-1888-1913-cuid-1132420-duid-1314624,,
Germany,10 Mark,Wilhelm II,Au,0.9,3.982,19.5,1.2,Reeded,1888,1913,COIN,https://en.numista.com/catalogue/pieces2978.html,https://www.ngccoin.com/price-guide/world/germany-empire-10-mark-km-520-1888-1913-cuid-1132419-duid-1314584,,
Russia,5 Roubles,Nicholas II,Au,0.9,4.3,18.5,1.2,Reeded,1897,1910,COIN,https://en.numista.com/catalogue/pieces2605.html,https://www.ngccoin.com/price-guide/world/russia-5-roubles-km-62-1897-1910-cuid-1130124-duid-1295159,,
Russia,10 Roubles,Nicholas II,Au,0.9,8.6,22.5,1.5,Reeded,1898,1911,COIN,https://en.numista.com/catalogue/pieces2606.html,https://www.ngccoin.com/price-guide/world/russia-10-roubles-km-64-1898-1911-cuid-1130125-duid-1295210,,
Russia,15 Roubles,Nicholas II,Au,0.9,12.9,27,1.8,Reeded,1897,1917,COIN,https://en.numista.com/catalogue/pieces2607.html,https://www.ngccoin.com/price-guide/world/russia-15-roubles-km-65.2-1897-1917-cuid-1130126-duid-1295258,,
Mexico,50 Pesos,Centenario,Au,0.9,41.666,37,2.85,Reeded,1921,1947,COIN,https://en.numista.com/catalogue/pieces508.html,https://www.ngccoin.com/price-guide/world/mexico-50-pesos-km-481-1921-1947-cuid-1131359-duid-1299704,,
Austria,100 Corona,Franz Joseph I,Au,0.9,33.875,37,2.4,Reeded,1908,1915,COIN,https://en.numista.com/catalogue/pieces2827.html,https://www.ngccoin.com/price-guide/world/austria-100-corona-km-2812-1908-1915-cuid-1127577-duid-1281092,,
