country,denomination,series,metal,fineness,weight_grams,diameter_mm,thickness_mm,edge,years_start,years_end,asset_category,numista_url,ngc_url,pcgs_url,notes
Italy,50 Centesimi,Victor Emmanuel III - 50 Centesimi,Acmonital (magnetic),1,6,24.1,1.97,Reeded,1939,1943,COIN,https://en.numista.com/catalogue/pieces2278.html,https://www.ngccoin.com/price-guide/world/italy-50-centesimi-km-76b-1939-1943-cuid-1125890-duid-1478701,,
Monaco,2 Francs,Louis II - 2 Francs,Aluminum,1,2.25,27,1.7,Plain,1943,1943,COIN,https://en.numista.com/catalogue/pieces804.html,https://www.ngccoin.com/price-guide/world/monaco-2-francs-km-121-1943-cuid-1117604-duid-1434243,,Undated - struck 1943 under Vichy initiative
Morocco,1 Franc,Yusuf - 1 Franc,Ni,1,7.8,27.2,1.5,Reeded,1921,1924,COIN,https://en.numista.com/catalogue/pieces1712.html,https://www.ngccoin.com/price-guide/world/morocco-franc-y-36.1-cuid-1202108-duid-1440269,,
Spain,5 Pesetas,Francisco Franco 1957 - 5 Pesetas,Cu-Ni,1,5.75,23,1.9,Reeded,1958,1975,COIN,https://en.numista.com/catalogue/pieces781.html,https://www.ngccoin.com/price-guide/world/spain-5-pesetas-km-786-1957-1957-75-cuid-1082343-duid-1555601,,All coins say 1957 - mint year on star.
Spain,1 Peseta,Juan Carlos I 1982 - 1 Peseta,Al-Mg,0.995,1.2,21,1.3,Plain,1982,1989,COIN,https://en.numista.com/catalogue/pieces789.html,https://www.ngccoin.com/price-guide/world/spain-peseta-km-821-1982-1989-cuid-1082713-duid-1517340,,
Spain,1 Peseta,Juan Carlos I 1975 - 1 Peseta,Cu-Al-Ni,1,3.5,21,1.6,Reeded,1976,1980,COIN,https://en.numista.com/catalogue/pieces787.html,https://www.ngccoin.com/price-guide/world/spain-peseta-km-806-1975-76-1975-80-cuid-1111983-duid-1561322,,All coins say 1975 - mint year on star.
Spain,100 Pesetas,Juan Carlos I - 100 Pesetas,Cu-Al-Ni,0.98,9.25,24.5,2.3,Incuse,1982,1990,COIN,https://en.numista.com/catalogue/pieces1258.html,https://www.ngccoin.com/price-guide/world/spain-100-pesetas-km-826-1982-1990-cuid-1082943-duid-1516200,,
Spain,25 Pesetas,Juan Carlos I - 25 Pesetas,Cu-Al-Ni,0.98,4.2,19.5,1.6,Plain,1990,1991,COIN,https://en.numista.com/catalogue/pieces1261.html,https://www.ngccoin.com/price-guide/world/spain-25-pesetas-km-851-1990-1991-cuid-1082347-duid-1517356,,
Spain,5 Pesetas,Juan Carlos I - 5 Pesetas,Cu-Al-Ni,0.98,3,17.5,1.5,Plain,1989,2001,COIN,https://en.numista.com/catalogue/pieces1262.html,https://www.ngccoin.com/price-guide/world/spain-5-pesetas-km-833-1989-2001-cuid-1083431-duid-1516030,,
Spain,5 Pesetas,Juan Carlos I 1975 - 5 Pesetas,Cu-Ni,1,5.75,23,1.5,Reeded,1976,1980,COIN,https://en.numista.com/catalogue/pieces782.html,https://www.ngccoin.com/price-guide/world/spain-5-pesetas-km-807-1975-76-1975-80-cuid-1083430-duid-1517110,,All coins say 1975 - mint year on star.
Tunisia,2 Francs,Chambers of Commerce - 2 Francs,Al (Bronze),1,8,27,2.13,Reeded,1921,1945,COIN,https://en.numista.com/catalogue/pieces1209.html,https://www.ngccoin.com/price-guide/world/tunisia-2-francs-km-248-1340-1921-1364-1945-cuid-1090552-duid-1571127,,
UK,2 Shillings (Florin),George VI - 2 Shillings,Ag,0.5,11.31,28.5,2.1,Reeded,1937,1946,COIN,https://en.numista.com/catalogue/pieces3609.html,https://www.ngccoin.com/price-guide/world/great-britain-florin-km-855-1937-1946-cuid-1130632-duid-1326939,,
